Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_STORE/button_Total_btn btn-success""))",Chrome 139.0.7258.155,,,11-09-2025 19:07:28,11-09-2025 19:07:28,"0,324s",PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_STORE/input_Name_name""), 10)",Chrome 139.0.7258.155,,,11-09-2025 19:07:28,11-09-2025 19:07:28,"0,525s",PASSED
"setText(findTestObject(""Object Repository/Page_STORE/input_Name_name""), ""Luis Torres"")",Chrome 139.0.7258.155,,,11-09-2025 19:07:28,11-09-2025 19:07:29,"0,629s",PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_STORE/input_Country_country""), 10)",Chrome 139.0.7258.155,,,11-09-2025 19:07:29,11-09-2025 19:07:29,"0,240s",PASSED
"setText(findTestObject(""Object Repository/Page_STORE/input_Country_country""), ""Ecuador"")",Chrome 139.0.7258.155,,,11-09-2025 19:07:29,11-09-2025 19:07:30,"0,577s",PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_STORE/input_City_city""), 10)",Chrome 139.0.7258.155,,,11-09-2025 19:07:30,11-09-2025 19:07:30,"0,265s",PASSED
"setText(findTestObject(""Object Repository/Page_STORE/input_City_city""), ""Quito"")",Chrome 139.0.7258.155,,,11-09-2025 19:07:30,11-09-2025 19:07:31,"0,615s",PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_STORE/input_Credit card_card""), 10)",Chrome 139.0.7258.155,,,11-09-2025 19:07:31,11-09-2025 19:07:31,"0,243s",PASSED
"setText(findTestObject(""Object Repository/Page_STORE/input_Credit card_card""), ""1234567890"")",Chrome 139.0.7258.155,,,11-09-2025 19:07:31,11-09-2025 19:07:32,"0,664s",PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_STORE/input_Month_month""), 10)",Chrome 139.0.7258.155,,,11-09-2025 19:07:32,11-09-2025 19:07:32,"0,252s",PASSED
"setText(findTestObject(""Object Repository/Page_STORE/input_Month_month""), ""septiembre"")",Chrome 139.0.7258.155,,,11-09-2025 19:07:32,11-09-2025 19:07:33,"0,649s",PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_STORE/input_Year_year""), 10)",Chrome 139.0.7258.155,,,11-09-2025 19:07:33,11-09-2025 19:07:33,"0,259s",PASSED
"setText(findTestObject(""Object Repository/Page_STORE/input_Year_year""), ""2025"")",Chrome 139.0.7258.155,,,11-09-2025 19:07:33,11-09-2025 19:07:34,"0,661s",PASSED
"waitForElementClickable(findTestObject(""Object Repository/Page_STORE/button_Close_btn btn-primary""), 10)",Chrome 139.0.7258.155,,,11-09-2025 19:07:34,11-09-2025 19:07:34,"0,277s",PASSED
"click(findTestObject(""Object Repository/Page_STORE/button_Close_btn btn-primary""))",Chrome 139.0.7258.155,,,11-09-2025 19:07:34,11-09-2025 19:07:34,"0,340s",PASSED
"waitForElementClickable(findTestObject(""Object Repository/Page_STORE/button_Cancel_confirm btn btn-lg btn-primary""), 10)",Chrome 139.0.7258.155,,,11-09-2025 19:07:34,11-09-2025 19:07:35,"0,693s",PASSED
"click(findTestObject(""Object Repository/Page_STORE/button_Cancel_confirm btn btn-lg btn-primary""))",Chrome 139.0.7258.155,,,11-09-2025 19:07:35,11-09-2025 19:07:35,"0,624s",PASSED
closeBrowser(),Chrome 139.0.7258.155,,,11-09-2025 19:07:35,11-09-2025 19:07:36,"0,248s",PASSED
